step,chosen_arm,reward,ucb_s1_a0,ucb_s2_a0,ucb_s3_a0,binding_a0,ucb_s1_a1,ucb_s2_a1,ucb_s3_a1,binding_a1,ucb_s1_a2,ucb_s2_a2,ucb_s3_a2,binding_a2,ucb_s1_a3,ucb_s2_a3,ucb_s3_a3,binding_a3,ucb_s1_a4,ucb_s2_a4,ucb_s3_a4,binding_a4,ucb_s1_a5,ucb_s2_a5,ucb_s3_a5,binding_a5,ucb_s1_a6,ucb_s2_a6,ucb_s3_a6,binding_a6
7,3,0.0,0.964147,2.442027,1.913034,s1,0.991093,1.442027,1.777174,s1,0.994469,1.442027,1.791593,s1,1.175475,1.442027,1.929822,s1,1.065845,1.442027,1.732628,s1,0.982933,1.442027,1.878287,s1,1.031968,1.442027,1.877418,s1
8,5,0.0,0.907336,2.482304,1.939248,s1,1.073143,1.482304,1.803388,s1,0.987906,1.482304,1.817807,s1,1.194267,1.048147,1.831318,s2,1.116463,1.482304,1.758843,s1,1.272319,1.482304,1.904502,s1,1.080313,1.482304,1.903633,s1
9,6,0.0,1.262054,2.517427,1.961778,s1,1.290449,1.517427,1.825918,s1,1.187101,1.517427,1.840337,s1,1.341358,1.072983,1.852889,s2,1.233557,1.517427,1.781373,s1,1.234603,1.072983,1.805648,s2,1.337895,1.517427,1.926163,s1
10,0,1.0,1.271471,2.548514,1.981494,s1,1.116169,1.548514,1.845634,s1,0.999109,1.548514,1.860053,s1,0.956709,1.094965,1.871765,s1,1.118901,1.548514,1.801089,s1,1.110171,1.094965,1.824525,s2,0.898907,1.094965,1.823728,s1
11,2,0.0,0.800891,2.114654,1.956464,s1,0.924087,1.576359,1.863134,s1,1.266383,1.576359,1.877553,s1,1.097751,1.114654,1.88852,s1,1.142247,1.576359,1.818588,s1,0.963076,1.114654,1.84128,s1,1.085879,1.114654,1.840483,s1
12,4,0.0,0.907225,2.132464,1.971507,s1,0.966036,1.601546,1.878846,s1,0.999919,1.132464,1.776853,s1,1.097826,1.132464,1.903564,s1,1.216036,1.601546,1.834301,s1,0.877519,1.132464,1.856323,s1,0.809278,1.132464,1.855526,s1
13,5,0.0,1.089156,2.148707,1.985143,s1,1.085511,1.624518,1.893089,s1,1.04015,1.148707,1.790489,s1,1.043282,1.148707,1.9172,s1,0.962547,1.148707,1.736438,s1,1.127832,1.148707,1.869959,s1,0.952075,1.148707,1.869162,s1
14,0,1.0,0.946914,2.163626,1.997602,s1,0.906311,1.645615,1.906102,s1,0.864636,1.163626,1.802948,s1,0.759001,1.163626,1.929659,s1,0.866768,1.163626,1.748897,s1,0.7709,0.950097,1.775218,s1,0.827802,1.163626,1.881621,s1
15,0,1.0,0.990566,1.961351,1.969476,s1,0.979918,1.665109,1.918072,s1,0.893765,1.17741,1.814409,s1,0.929079,1.17741,1.941119,s1,0.977122,1.17741,1.760358,s1,0.896987,0.961351,1.786229,s1,0.921575,1.17741,1.893082,s1
16,3,0.0,0.762523,1.841608,1.944028,s1,0.925254,1.683215,1.929147,s1,0.788983,1.190213,1.825013,s1,1.126293,1.190213,1.951723,s1,0.926044,1.190213,1.770962,s1,0.920873,0.971805,1.796417,s1,0.998487,1.190213,1.903686,s1
17,1,0.0,0.665313,1.850055,1.953158,s1,1.145412,1.700109,1.939447,s1,0.892721,1.202159,1.834874,s1,1.2369,0.981559,1.849499,s2,1.029989,1.202159,1.780824,s1,1.076591,0.981559,1.805892,s2,0.986154,1.202159,1.913547,s1
18,0,1.0,1.164625,1.857968,1.961687,s1,1.10572,1.213351,1.830869,s1,1.114166,1.213351,1.844086,s1,1.141319,0.990697,1.858349,s2,1.097111,1.213351,1.790036,s1,1.044376,0.990697,1.814743,s2,0.997305,1.213351,1.922759,s1
19,3,0.0,0.53532,1.774046,1.936805,s1,0.965945,1.223873,1.839508,s1,0.976895,1.223873,1.852725,s1,1.027444,0.999288,1.866649,s2,0.953853,1.223873,1.798675,s1,1.085067,0.999288,1.823043,s2,0.92471,1.223873,1.931399,s1
20,6,0.0,0.410024,1.780323,1.944077,s1,0.610545,1.2338,1.847639,s1,0.607399,1.2338,1.860856,s1,0.728393,0.872428,1.776118,s1,0.725706,1.2338,1.806805,s1,0.657859,1.007393,1.830854,s1,0.923984,1.2338,1.939529,s1
21,1,0.0,0.689114,1.786262,1.950943,s1,1.077451,1.24319,1.855315,s1,0.81101,1.24319,1.868532,s1,0.85612,0.879068,1.783225,s1,0.90109,1.24319,1.814481,s1,0.922891,1.01506,1.838229,s1,0.864062,1.01506,1.837494,s1
22,5,0.0,0.81549,1.791896,1.957443,s1,0.898116,1.022333,1.759654,s1,0.855723,1.252097,1.8758,s1,0.727785,0.885366,1.789953,s1,0.76922,1.252097,1.821749,s1,1.118755,1.022333,1.845212,s2,1.008169,1.022333,1.844477,s1
23,4,0.0,0.540979,1.797252,1.963614,s1,0.956982,1.029248,1.766283,s1,1.002112,1.260566,1.882699,s1,1.068228,0.891355,1.79634,s2,1.00367,1.260566,1.828648,s1,0.967688,0.891355,1.755848,s2,0.904749,1.029248,1.851105,s1
24,0,1.0,1.196216,1.802356,1.969485,s1,1.194984,1.035837,1.772589,s2,1.053462,1.268636,1.889263,s1,1.080844,0.897061,1.802417,s2,1.110396,1.035837,1.734897,s2,1.114109,0.897061,1.761926,s2,1.117934,1.035837,1.857411,s2
25,0,1.0,1.139142,1.736896,1.94412,s1,1.168709,1.042129,1.778602,s2,1.076472,1.276342,1.895521,s1,1.32254,0.90251,1.808212,s2,1.098289,1.042129,1.74091,s2,1.07196,0.90251,1.76772,s2,1.004023,1.042129,1.863424,s1
26,0,1.0,1.157745,1.686173,1.920955,s1,0.961622,1.048147,1.784347,s1,1.054919,1.283713,1.901501,s1,0.880319,0.907722,1.813748,s1,1.029177,1.048147,1.746655,s1,0.918001,0.907722,1.773256,s2,1.004275,1.048147,1.86917,s1
27,1,0.0,0.62749,1.645388,1.89968,s1,1.009822,1.053914,1.789846,s1,0.843666,1.290776,1.907224,s1,1.091354,0.912716,1.819047,s2,0.996535,1.053914,1.752154,s1,1.001715,0.912716,1.778555,s2,0.990547,1.053914,1.874668,s1
28,0,1.0,1.300415,1.648777,1.904161,s1,1.125917,0.91751,1.704189,s2,0.954522,1.297555,1.912712,s1,1.283766,0.91751,1.824127,s2,1.060662,1.059449,1.757426,s2,1.063575,0.91751,1.783635,s2,1.168619,1.059449,1.87994,s2
